filename,width,height,class,xmin,ymin,xmax,ymax
2b923b9c9b526e45022e18d0493946ba-1-_jpg.rf.53ff16946d39b0ad7e4bd69294591ba6.jpg,640,640,Aadhar cards,6,6,632,639
14171f7e3e906f9bb9cbee0e44b183ab_jpg.rf.5410764ee7a18b9e37f0e5601200fa8f.jpg,640,640,Aadhar cards,0,7,610,636
06a0686f91bed47d1f4873e4d104442c_jpg.rf.54cd4a1e8c67125bd230ad494587275e.jpg,640,640,Aadhar cards,3,2,627,640
2017_7image_01_34_3344908890_jpg.rf.54e49a00cb77d53a65572c4979676f5b.jpg,640,640,Aadhar cards,2,16,638,640
0c0584201ff552c4bdcbe160315aa432_jpg.rf.5506bbcb55e6c4ac66b89a08b683f5d6.jpg,640,640,Aadhar cards,42,3,640,616
2bfd2f150b31581bac34445b5c49dd26_jpg.rf.550d71b1724457e522276e00ac450f7c.jpg,640,640,Aadhar cards,1,9,618,638
2017_7image_01_34_3344908890_jpg.rf.5525603d66e1d1252f35405834e8ee4b.jpg,640,640,Aadhar cards,0,0,640,640
102_509409293_jpg.rf.5579cc0fccdd30b434dcedf6688db408.jpg,640,640,Aadhar cards,8,35,640,640
086d820550f34066764f4047ddc263ca_jpg.rf.55e88a9a74a7a7bfabf36578dff52413.jpg,640,640,Aadhar cards,48,56,622,640
3564191365d6dd7bff705c3252860029_jpg.rf.560d7fec818ac4945c0778652e3bed1e.jpg,640,640,Aadhar cards,0,35,638,639
23752a535ecca255d677464b5a7a24f4_jpg.rf.56e41dc078811197b159c7420bbcca43.jpg,640,640,Aadhar cards,6,13,640,640
15702284b04c27864e819ad89483b80d_jpg.rf.59c99db5c4eaf443a3836515250af55a.jpg,640,640,Aadhar cards,0,6,612,639
71697128_jpg.rf.55b08f88e86ba2b3e45efa26fbe9fd75.jpg,640,640,Aadhar cards,0,13,636,639
0c0584201ff552c4bdcbe160315aa432_jpg.rf.57f404953ce1b14676a58aad57e9b3b3.jpg,640,640,Aadhar cards,24,42,637,640
1_xMzwx1zuB5KlpNM53l2nfw_jpg.rf.5b5ecd7586b5c529c718cf0669c05436.jpg,640,640,Aadhar cards,0,1,623,627
116508899_159713039053118_8698401500526480570_n_jpg.rf.5519170ea8604834b563f661d38a380c.jpg,640,640,Aadhar cards,18,8,634,638
102_509409293_jpg.rf.59d84f4f1236e6d581b2f01cba2e2663.jpg,640,640,Aadhar cards,12,31,640,640

0521_adhar_jpg.rf.5a3ad096463140c03836a93c1d30a5f5.jpg,640,640,Aadhar cards,1,6,639,635
17e77ff746a7f6995dcbe80f0b107701_jpg.rf.58578970118840b9b7ffebf74a81bd33.jpg,640,640,Aadhar cards,1,9,636,635
60643f2e835245dfa9b0c9c988abb748_jpg.rf.5c3544c48c7d54b44fc73b5201f699c4.jpg,640,640,Aadhar cards,4,9,638,622
2017_7image_01_34_3344908890_jpg.rf.5d6cda32415d2771a1ac8711bd7097f4.jpg,640,640,Aadhar cards,5,5,638,640
0e0a5204f238d9c743ae456a8dc6529a_jpg.rf.5cb0bcea432d4f81ded01d10f38b39cc.jpg,640,640,Aadhar cards,25,0,640,638
102_509409293_jpg.rf.5f32ecd48783b6e4da0f3e2d44459fc1.jpg,640,640,Aadhar cards,4,16,611,640

0521_adhar_jpg.rf.605f855a316d3edb8757311b6bf0b342.jpg,640,640,Aadhar cards,6,3,352,640
0521_adhar_jpg.rf.605f855a316d3edb8757311b6bf0b342.jpg,640,640,Aadhar cards,273,19,640,640
2b923b9c9b526e45022e18d0493946ba-1-_jpg.rf.5d1a4fcd06ce7764e79948089e628205.jpg,640,640,Aadhar cards,0,22,639,640
2bfd2f150b31581bac34445b5c49dd26_jpg.rf.5ff0a6203c183d42232bf158380cf544.jpg,640,640,Aadhar cards,14,2,640,634
23752a535ecca255d677464b5a7a24f4_jpg.rf.64ec923940c05b868e5020965c3cd72d.jpg,640,640,Aadhar cards,11,0,639,626
2bfd2f150b31581bac34445b5c49dd26_jpg.rf.5e712acb1c99e29fadfe87dcb84ca27d.jpg,640,640,Aadhar cards,1,8,633,639
2b923b9c9b526e45022e18d0493946ba_jpg.rf.61394b2db59a1cbaa53ee626a187c976.jpg,640,640,Aadhar cards,0,1,638,625
3564191365d6dd7bff705c3252860029_jpg.rf.63fb16ad0af296b87c3e17323a32a5b6.jpg,640,640,Aadhar cards,5,2,638,625
0e0a5204f238d9c743ae456a8dc6529a_jpg.rf.5bead1fe6935f985c2b4f863d4d88865.jpg,640,640,Aadhar cards,3,0,638,640
110_504886170_jpg.rf.5d244eef3e556f54bf85e5dbb6ff6b65.jpg,640,640,Aadhar cards,5,2,600,594
086d820550f34066764f4047ddc263ca_jpg.rf.6358f22142fbfae9137b0df823cd26cf.jpg,640,640,Aadhar cards,49,48,600,619
0c0584201ff552c4bdcbe160315aa432_jpg.rf.5d66a0bcedea34e882b0da653b9c6e85.jpg,640,640,Aadhar cards,10,36,637,623
15702284b04c27864e819ad89483b80d_jpg.rf.62957ea157227e5d3ac23204e2aa5c3b.jpg,640,640,Aadhar cards,33,1,640,639
17e77ff746a7f6995dcbe80f0b107701_jpg.rf.6157422506e1de0fcb34a83662a63df3.jpg,640,640,Aadhar cards,22,0,640,631
2bfd2f150b31581bac34445b5c49dd26_jpg.rf.655c012ac8c754f312f2f46dca3c3942.jpg,640,640,Aadhar cards,1,14,634,640
0521_adhar_jpg.rf.64698393242e6b1fff3aa729bb463fd0.jpg,640,640,aadharcards,0,0,638,607
23752a535ecca255d677464b5a7a24f4_jpg.rf.65000da14f6862e8cfbb9b6898910441.jpg,640,640,Aadhar cards,4,0,638,639
2bfd2f150b31581bac34445b5c49dd26_jpg.rf.64a9e419fb145c3e3ca8346b0e43c921.jpg,640,640,Aadhar cards,0,0,640,640
71697128_jpg.rf.623a5c5ffc481b9d6457532871f3ae6c.jpg,640,640,Aadhar cards,14,1,639,636
0c0584201ff552c4bdcbe160315aa432_jpg.rf.60e41aa51abac7cb5387bc3db752126b.jpg,640,640,Aadhar cards,24,42,638,640
